date,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
2020-10-05,13.3,8.5,537,18.4,1555,0,0,0,0,0,0,10,320,1524,5.1,290,1352,2.5,2181,270,4.8,40,1410,57.3,8.6,1007.9,1020.5,2310,1016.1,1,1018.2,11.6,10.5,1200,2.92,19.44,0,0,0,0,0,2.3,0.4,14.5,2.9,17.3,17.4,18.6,19.9,20.9,22.3,22.8,21.5,18.3,3.6,5.1,0,이상없음,0
2020-10-06,14.2,9.3,627,19.7,1529,0,0,0,0,0,0,7.8,250,1124,4.1,290,1114,2,1746,290,4.9,34,1420,55.9,8.7,1012.2,1024.9,2322,1020.5,1,1022.5,11.6,10.8,1200,2.88,19.81,0,0,0,0,0,2.5,0,14.6,4,16.9,16.8,17.9,19,20.1,22.2,22.7,21.5,18.3,3.8,5.4,0,이상없음,0
2020-10-07,16,9.9,705,22,1558,0,0,0,0,0,0,7.1,160,1350,3.4,50,1359,1.9,1673,50,4.6,24,1603,48.9,8.5,1015.8,1027.7,941,1023.9,1550,1026,11.6,8.9,1200,2.64,16.99,0,0,0,0,0,3.8,1.1,14.9,5.8,17.1,16.9,17.7,18.7,19.7,21.9,22.6,21.5,18.3,3.7,5.3,0,이상없음,0
2020-10-08,17.2,12.1,621,23.1,1511,0,0,0,0,0,0,9.7,50,1723,5.4,50,1729,3.1,2648,50,7,35,1632,53,10.1,1016.7,1029,845,1024.6,1625,1026.9,11.5,10.8,1200,2.82,19.27,0,0,0,0,0,0.1,0.1,15.9,8.5,17.6,17.3,17.9,18.7,19.5,21.6,22.5,21.5,18.3,4.6,6.6,0,이상없음,0
2020-10-09,17.2,12.4,527,23.3,1508,0,0,0,0,0,0,9.5,110,1240,5.2,50,1518,3,2561,70,7.5,42,1510,53.4,10.4,1013.2,1026.9,1,1020.5,1739,1023.4,11.5,10.6,1200,2.78,18.55,0,0,0,0,0,4.6,0.1,16.6,6.8,17.7,17.4,18,18.8,19.5,21.4,22.4,21.4,18.4,4,5.8,0,이상없음,0
2020-10-10,16.9,12.3,543,21.5,1344,0,0,0,0,0,0,6.8,110,920,3.8,20,1116,2,1749,70,8.8,41,1329,60.1,11.3,1009.7,1022.3,3,1017,1831,1019.8,11.4,7.6,1100,2.52,15.28,0,0,0,0,0,5.3,1.3,16.6,6.6,18,17.7,18.2,18.9,19.5,21.3,22.2,21.4,18.4,2.9,4.2,0,이상없음,0
2020-10-11,16.9,12.7,634,20.8,1155,0,0,0,0,0,0,6.6,50,238,4.1,50,244,1.8,1594,50,10.9,52,1156,68.5,13,1006.1,1018.5,749,1013.8,1612,1016.2,11.4,4.9,1100,2.45,11.45,0,0,0,0,0,5.8,0.5,16.1,9.7,18.2,17.9,18.3,18.9,19.5,21.1,22.1,21.4,18.4,2,2.8,0,이상없음,0
2020-10-12,16.2,12.1,2356,21.3,1411,0,0,0,0,0,0,7.5,200,1523,4.6,250,1544,2.2,1912,250,10,48,2045,68.6,12.5,1005.2,1018,2349,1013.5,1402,1015.3,11.4,7.5,1200,2.06,13.59,0,0,0,0,0,2.6,1,16.8,8,18.3,18,18.3,18.9,19.4,21,22,21.4,18.4,2.7,3.9,0,박무,0
2020-10-13,13.6,8.6,627,18.4,1459,0,0,0,0,0,0,8,320,1315,4.7,270,1319,2.2,1911,270,3.5,30,1608,52.3,7.9,1010.7,1023.1,2154,1018,1,1021,11.3,7.1,1200,2.33,14.16,0,0,0,0,0,3.5,0,14.2,1.4,16.6,16.6,17.5,18.5,19.3,20.9,21.8,21.3,18.4,2.8,4,0,이상없음,0
2020-10-14,12.8,8.5,2400,18,1327,0,0,0,0,0,0,9.4,250,1413,5.8,270,1500,2.4,2052,290,1,20,1350,47,6.9,1014.6,1026.7,2340,1022.8,1,1025,11.3,5.8,1300,2.19,12.19,0,0,0,0,0,6.6,2.9,14.3,5.1,16.2,16.2,16.9,17.9,18.8,20.8,21.7,21.3,18.4,3.2,4.6,0,채운,0
